canonical_form,surface_forms,unit_type,pos,sense_id,meaning_fr,meaning_fr_official,meaning_fr_alt,contexte_en,fr_status,definition_en,occurrences,book_count,dispersion,zipf_need,aoa_component,fr_opacity,sense_surprise,confidence,score_comprehension,score_reuse,score_default,needs_review,recovery_route,recovery_reason,candidate_senses,review_action,pknown_test,aoa_test,cefr_test,zipf_wordfreq_en,zipf_freqzipfus
dementia,dementia,word,n,dementia.n.01,démence,démence,syndrome démentiel,"(Mumbled) . . . can neverbody black werstrus— Nor dementia . . . —you / sornum never back . . . Okay, now you’re pushing it . . .",auto_strong,mental deterioration of organic or functional origin,1,1,1,0.5,0.5,0.462,0.5,1.0,0.467,0.494,0.481,False,,,dementia.n.01,,0.99,12.32,,3.76,3.118
basement,basement,word,n,basement.n.01,sous-sol,sous-sol,cave,"The mask. Look at the mask! Sand, crocodile, and fear above New York. A turn-of-the-century ground-floor/basement duplex tenement apartment in New York City’s Chinatown. It’s just big enough to not feel small. It’s just small enough to not feel big. The two floors are connected via a spiral staircase. Each floor has its own entrance. The apartment’s pre-war features have been coated in layers of faded off-white paint, rendering the space curiously monotone. The rooms are worn, the floors are warped, but clean and well kept. || Arms full, he attempts to exit up the narrow spiral staircase when He realizes he’s left the LED lantern lit on the table. He puts his belongings down; turns the lantern off, darkening the basement. This greatly sharpens the shaft of fluorescent hallway light pouring through the propped-open door. It has a tunnel-like quality.",auto_strong,the lowermost portion of a structure partly or wholly below ground level; often used for storage,2,2,2,0.5,0.5,0.667,0.0,0.0,0.436,0.525,0.481,True,,,basement.n.01/basement.n.02,,1.0,6.74,B1,4.18,4.323
tease,tease/teasing,word,v,tease.v.01,,,,". . . ah, a Virgin Mary statue— —complete with a serpent under her foot . . . Okay, before you tease me, I know you guys don’t believe, but she’s appearing everywhere now not just in Fatima but in West Virginia and—just keep it for my sake, in the kitchen or even if you just put it in a drawer somewhere, okay? Mom, I will absolutely keep this in a drawer somewhere, / thank you. Yeah, well . . . I feel better knowing you have it. || she was a piece of work, she flashlights and the lantern. loved teasing me because Aimee heads to the window to Scranton’s a stone’s throw",pending,annoy persistently,2,2,2,0.5,0.5,0.5,0.333,0.0,0.461,0.5,0.481,True,,,tease.v.01/tease.v.02/tease.v.03/tease.v.04/tease.v.05/tease.v.06/tease.v.07/tease.v.08/tease.v.09,,0.99,5.11,B2,3.59,3.756
stairwell,stairwell,word,n,stairwell.n.01,,cage d'escalier,,"Sorry about the noise, guys . . . there . . . go unwind. Brigid heads toward the stairwell. (Arriving downstairs, calling up) Deirdre pulls Erik aside in the other room. They have a hushed/indecipherable || Hey, you waking up a bit, Mom? . . . She keeps asking me that . . . Where do we—Momo . . . we’re going into this room is where we’re going . . . UPSTAIRS: Brigid exits the bathroom, is surprised to find Deirdre by the stairwell. What are you doing? . . . Just wanted a breather . . .",auto_strong,a vertical well around which there is a stairway,2,2,2,0.5,0.5,0.667,0.0,0.0,0.436,0.525,0.481,True,,,stairwell.n.01,,0.99,8.94,,2.91,3.329
drawer,drawer,word,n,drawer.n.01,tiroir,tiroir,,". . . ah, a Virgin Mary statue— —complete with a serpent under her foot . . . Okay, before you tease me, I know you guys don’t believe, but she’s appearing everywhere now not just in Fatima but in West Virginia and—just keep it for my sake, in the kitchen or even if you just put it in a drawer somewhere, okay? Mom, I will absolutely keep this in a drawer somewhere, / thank you. Yeah, well . . . I feel better knowing you have it. || —complete with a serpent under her foot . . . Okay, before you tease me, I know you guys don’t believe, but she’s appearing everywhere now not just in Fatima but in West Virginia and—just keep it for my sake, in the kitchen or even if you just put it in a drawer somewhere, okay? Mom, I will absolutely keep this in a drawer somewhere, / thank you. Yeah, well . . . I feel better knowing you have it. Small beat.",auto_strong,a boxlike container in a piece of furniture; made so as to slide in and out,2,2,2,0.5,0.5,0.667,0.0,0.0,0.436,0.525,0.481,True,,,draftsman.n.02/drawer.n.01/drawer.n.02,,0.99,5.37,A2,3.78,4.114
wealthy,wealthy,word,a,affluent.s.01,,riche,aisé/nanti,". . . oh, maybe, yeah . . . Hall . . . I forwarded it, Rich, ’cause it had this great answer to the question: “What makes Americans powerful and influential and wealthy?” Small beat as they eat. Trust funds? || What—too soon? Too soon? . . . Yes, too soon . . . What makes a person powerful and influential and wealthy is not growing up with power and influence and wealth. That’s what the e-mail said, anyway . . . (Caught off-guard by her emotions) . . . the gift of poverty is a . . . it’s not a myth, / it’s a real thing, it can be a blessing . . .",auto_strong,having an abundant supply of money or possessions of value,2,2,2,0.5,0.5,0.667,0.0,0.0,0.436,0.525,0.481,True,,,affluent.s.01,,1.0,7.89,B2,4.21,3.868
doorway,doorway,word,n,doorway.n.01,"porte, seuil",,,"[God, what the hell is that?] A toilet flush. Aimee and Brigid enter through the main door carrying a few plastic bags. This is the last of the goodies . . . (To Erik) || He considers it for a moment. He takes a deep breath. He walks toward the door. With no remaining natural or electric light, the apartment’s architecture seems to have vanished . . .",pending,the entrance (the space in a wall) through which you enter or leave a room or building; the space that a door can close,2,2,2,0.5,0.5,0.667,0.0,1.0,0.436,0.525,0.481,True,,,doorway.n.01,,0.99,6.55,B2,3.51,3.509
owe,owe,word,v,owe.v.01,,,,"It’s just some pots and pans, Dad, no worries . . . Deirdre helps Erik with Momo. Erik gives her a pill. We definitely owe you guys for that care-package, clearly we needed it. Yeah, you did, and cell-phone flashlights don’t last long in a blackout. You gotta be prepared . . . . . . and I still don’t get how",pending,be obliged to pay or repay,1,1,1,0.5,0.5,0.5,0.421,0.0,0.461,0.5,0.48,True,,,owe.v.01/owe.v.02/owe.v.03,,0.98,8.61,B1,4.13,4.87
arouse,arouses,word,v,arouse.v.01,,,,"The fear of old age The fear of death The subject of the “uncanny” . . . belongs to all that is terrible—to all that arouses dread and creeping horror . . . The German word [for “uncanny”], unheimlich, is obviously the opposite of heimlich . . . meaning “familiar,” “native,” “belonging to the home”; and we are tempted to conclude that what is “uncanny” is frightening precisely because it is not known and familiar . . . [But] among its different shades of meaning the word heimlich exhibits one which is identical with its opposite, unheimlich . . . on the one hand, it means that which is familiar and congenial, and on the other, that which is concealed and kept out of sight. The mask. Look at the mask! Sand, crocodile, and fear above New York.",pending,"call forth (emotions, feelings, and responses)",1,1,1,0.5,0.5,0.5,0.417,0.0,0.46,0.5,0.48,True,,,arouse.v.01/arouse.v.06/arouse.v.07/awaken.v.01/raise.v.07/stimulate.v.04/wake_up.v.02,,1.0,12.63,B2,2.9,3.091
opposite,opposite,word,n,reverse.n.01,opposé,,,"The fear of old age The fear of death The subject of the “uncanny” . . . belongs to all that is terrible—to all that arouses dread and creeping horror . . . The German word [for “uncanny”], unheimlich, is obviously the opposite of heimlich . . . meaning “familiar,” “native,” “belonging to the home”; and we are tempted to conclude that what is “uncanny” is frightening precisely because it is not known and familiar . . . [But] among its different shades of meaning the word heimlich exhibits one which is identical with its opposite, unheimlich . . . on the one hand, it means that which is familiar and congenial, and on the other, that which is concealed and kept out of sight. The mask. Look at the mask! Sand, crocodile, and fear above New York. || The fear of old age The fear of death The subject of the “uncanny” . . . belongs to all that is terrible—to all that arouses dread and creeping horror . . . The German word [for “uncanny”], unheimlich, is obviously the opposite of heimlich . . . meaning “familiar,” “native,” “belonging to the home”; and we are tempted to conclude that what is “uncanny” is frightening precisely because it is not known and familiar . . . [But] among its different shades of meaning the word heimlich exhibits one which is identical with its opposite, unheimlich . . . on the one hand, it means that which is familiar and congenial, and on the other, that which is concealed and kept out of sight. The mask. Look at the mask! Sand, crocodile, and fear above New York.",pending,a relation of direct opposition,2,2,1,0.5,0.5,0.286,0.75,0.0,0.491,0.468,0.48,True,,,antonym.n.01/inverse.n.01/opposition.n.04/reverse.n.01,,1.0,5.06,B1,4.62,4.182
literally,literally,word,r,literally.r.02,littéralement,,,"Well I don’t blame you for worrying, especially after—Brigid told me about . . . you and Aimee. Yeah, well . . . There are literally three thousand double-A batteries in here.",pending,(intensifier before a figurative expression) without exaggeration,1,1,1,0.5,0.5,0.455,0.5,0.0,0.466,0.493,0.48,True,,,literally.r.01/literally.r.02,,0.99,9.504747,B2,4.91,4.161
literally,literally,word,r,literally.r.01,littéralement,littéralement,au sens propre,here. . . . yeah . . . There are literally twelve. . . . what’s funny is Bridge is the one who’d been—you can,auto_strong,in a literal sense,1,1,1,0.5,0.5,0.455,0.5,0.0,0.466,0.493,0.48,True,,,literally.r.01/literally.r.02,,0.99,9.504747,B2,4.91,4.161
relate,related,word,a,related.a.01,,lié,en rapport avec/relié,"I’m serious! . . . no, I’m good . . . Rich hasn’t been sleeping much either, he’s been having weird dreams about—he thinks they’re related to the stress of the move . . . Oh man . . . . . . yeah, and he’s been keeping me up while he tries to unravel their meaning.",auto_judged,being connected either logically or causally or by shared characteristics,1,1,1,0.5,0.5,0.455,0.5,0.0,0.466,0.493,0.48,True,,,related.a.01/related.a.02,,0.99,10.33,B1,4.24,3.677
gulf,gulf,word,n,gulf.n.02,fossé,fossé,écart/gouffre,"No worries—Bridge, should we re-park the car? I think it’s street cleaning in the morning but . . . we’ll figure it out . . . Brigid mouths “Thank you, I love you” into Richard’s ear. They kiss. Their affection for each other triggers something in Erik—embarrassment that Richard needed to take care of him? Nostalgia for his own early romance with Deirdre? The stage picture should subtly highlight Brigid and Richard’s flawed-but-alive connection and a gulf between Erik and Deirdre. Erik decides to go upstairs. Aimee has dialed her cell . . . Hi I need a car . . . yeah, just charge it to my account . . . right, it’s going to a town in PA . . . zip is 18433 . . . Scott Town-ship . . . no case number, take it out of my personal . . . yeah, exactly . . . uh, three—but one of them is in a wheelchair—",auto_strong,an unbridgeable disparity (as from a failure of understanding),1,1,1,0.5,0.5,0.455,0.5,0.0,0.466,0.493,0.48,True,,,gulf.n.01/gulf.n.02/gulf.n.03,,0.98,9.365532,,4.28,3.676
zip,zip,word,n,zip_code.n.01,code postal,code postal,code ZIP,"The stage picture should subtly highlight Brigid and Richard’s flawed-but-alive connection and a gulf between Erik and Deirdre. Erik decides to go upstairs. Aimee has dialed her cell . . . Hi I need a car . . . yeah, just charge it to my account . . . right, it’s going to a town in PA . . . zip is 18433 . . . Scott Town-ship . . . no case number, take it out of my personal . . . yeah, exactly . . . uh, three—but one of them is in a wheelchair— (To Erik, who has arrived upstairs) Do you guys need a van for Momo . . . ?—",auto_strong,a code of letters and digits added to a postal address to aid in the sorting of mail,1,1,1,0.5,0.5,0.455,0.5,1.0,0.466,0.493,0.48,False,,,energy.n.02/nothing.n.01/slide_fastener.n.01/zip_code.n.01,,1.0,5.3,B2,3.87,3.883
indicate,Indicating,word,v,indicate.v.02,,indiquer,montrer/désigner,"And how’s Aunt Mary? She’s hanging in there, God love her . . . they got this contraption now to help load her into the pool but—Rich, this is their aunt who had both knees replaced, / I drive her to her physical therapy . . . (Indicating the crudités platter) Pass the . . . . . . and did I e-mail you that—Kay Hoban has ovarian cancer . . .",auto_strong,"indicate a place, direction, person, or thing; either spatially or figuratively",1,1,1,0.5,0.5,0.375,0.654,0.0,0.477,0.481,0.479,True,,,argue.v.03/bespeak.v.01/indicate.v.02/indicate.v.03/indicate.v.05,,1.0,9.74,A2,4.35,3.921
dish,dishes,word,n,dish.n.01,,,,"couch where the hell could she be?! A crash of a few empty pots and pans, maybe some knocked dishes, sounds from the kitchen alley. Erik disappears into the kitchen alley. Momo mumbles under the following scene as everyone tries to recover and Erik helps her back to the couch. (Offstage) (Offstage) || Richard and Brigid continue (On the phone) bussing dishes; they set out a . . . hi, yeah three but . . . we dessert tray and some ice cream",pending,a piece of dishware normally used as a container for holding or serving food,3,3,3,0.5,0.5,0.5,0.25,0.0,0.458,0.5,0.479,True,,,cup_of_tea.n.01/dish.n.01/dish.n.02/dish.n.03/dish.n.05/smasher.n.02,,1.0,4.89,A1,4.21,4.059
ensure,Ensure/ensure,word,v,guarantee.v.02,,,,"Just gonna check the score of the game . . . Erik climbs the stairs, struggles for reception by the window. (Pushing her Ensure shake closer) He sees some falling ashes. Mom, you’re not hungry? Just || to tell Brigid to forget the . . . uh-huh . . . Ensure shake, and catches a glimpse of Richard and Brigid enjoying a quiet moment—",pending,make certain of,3,3,3,0.5,0.5,0.5,0.25,0.0,0.458,0.5,0.479,True,,,guarantee.v.02/see.v.10,,0.99,11.11,B1,4.7,3.697
taper,Tapering/tapering,word,v,taper.v.01,,s’atténuer,diminuer progressivement/décroître,"What are you doing? . . . Just wanted a breather . . . (Tapering to barely audible) . . . where do we go do we go where do we go do we go . . . Erik massages Momo’s hand. || Where are they? They’re in the shopping bag upstairs, Rich can you—I got it, Mom . . . (Tapering to calm and quiet) . . . its allinners . . . sinnin . . . sahn . . . airywheres . . . itsen . . . senna . . . sahn . . . DOWNSTAIRS: Brigid cleans up the mess, back and forth between the kitchen, soaking up the liquid and ringing out her kitchen towel in the sink, while Deirdre wheels Momo away from the mess and into the other downstairs room, calming her.",auto_judged,diminish gradually,4,4,4,0.5,0.5,0.6,0.0,0.0,0.443,0.515,0.479,True,,,sharpen.v.07/taper.v.01,,0.99,10.7,,3.3,2.292
kiss,kiss/kisses,word,v,snog.v.01,,embrasser,baiser,"Can I get you anything? . . . mm-hm . . . Richard kisses her, she smiles, he pulls her farther into the kitchen alley . . . UPSTAIRS: Aimee continues her phone conversation. In the next room, Erik listens. I know, I know, I just thought the holidays could be an exception . . . || Thank God, yes . . . Yeah, man, you gave me a scare, Mom, / you really did . . . Erik kisses Momo. So, should—should we bring her wheelchair to the table for dinner? No, no she’ll be sleeping soon . . .",auto_strong,"touch with the lips or press the lips (against someone's mouth or other body part) as an expression of love, greeting, etc.",4,4,4,0.5,0.5,0.6,0.0,0.0,0.443,0.515,0.479,True,,,kiss.v.02/snog.v.01,,1.0,3.61,B1,4.58,5.083
curiously,curiously,word,r,curiously.r.01,,,,"A turn-of-the-century ground-floor/basement duplex tenement apartment in New York City’s Chinatown. It’s just big enough to not feel small. It’s just small enough to not feel big. The two floors are connected via a spiral staircase. Each floor has its own entrance. The apartment’s pre-war features have been coated in layers of faded off-white paint, rendering the space curiously monotone. The rooms are worn, the floors are warped, but clean and well kept. The layout doesn’t adhere to any sensible scheme; the result of a mid-century renovation in which two autonomous apartments were combined. UPSTAIRS: two rooms divided by an open entryway. The room with the staircase also has the apartment’s lone, large deep-set window with bars. The window gets no direct sunlight. An urban recliner is the only piece of furniture upstairs. The other room has a door that leads to the duplex’s sole bathroom.",pending,in a manner differing from the usual or expected,1,1,1,0.5,0.5,0.5,0.4,0.0,0.458,0.5,0.479,True,,,curiously.r.01/curiously.r.02,,1.0,,B1,3.2,2.848
furniture,furniture,word,n,furniture.n.01,meuble,meubles,mobilier/ameublement,"It’s good, right?—I can set up my music workspace downstairs so I won’t drive Rich crazy. This is a fancy chair . . . Erik, check out this fancy chair . . . I thought all your furniture was on the moving truck. It is—Richard’s parents gave us that—a couch, too . . . we’re not sure if the living area’ll be up here or—this might become the bedroom . . . (Noticing the staircase)",auto_strong,furnishings that make a room or other area ready for occupancy,1,1,1,0.5,0.5,0.7,0.0,1.0,0.428,0.53,0.479,False,,,furniture.n.01,,1.0,5.89,A2,4.29,4.178
bunch,bunch,word,n,bunch.n.01,,,,"Because I don’t want you to worry— I would’ve sent you a care-package . . . Yeah, and a bunch of text messages asking about my bowel movements. I just wanna know what’s / going on. You know we’d do anything for you, right?—",pending,a grouping of a number of similar things,1,1,1,0.5,0.5,0.5,0.4,0.0,0.458,0.5,0.479,True,,,bunch.n.01/bunch.n.03/crowd.n.02,,1.0,4.89,B1,4.57,4.77
crash,crash,word,n,clang.n.01,,,,"couch where the hell could she be?! A crash of a few empty pots and pans, maybe some knocked dishes, sounds from the kitchen alley. Erik disappears into the kitchen alley. Momo mumbles under the following scene as everyone tries to recover and Erik helps her back to the couch. (Offstage) (Offstage) || No . . . / no it is not . . . —you sure? You gonna bring out a crystal ball later? Surreal jarring clank of pre-war pipes. The noise covers Deirdre opening the bathroom door. The girls return from the kitchen, laughing. (Regarding their laughing)",pending,a loud resonant repeating noise,1,1,1,0.5,0.5,0.5,0.4,0.0,0.458,0.5,0.479,True,,,clang.n.01/crash.n.02/crash.n.03/crash.n.04/crash.n.05,,0.99,6.11,B1,4.55,4.457
embarrassment,embarrassment,word,n,embarrassment.n.01,,,,"Yeah, just, I’m not used to driving on Thanksgiving, Rich— No worries—Bridge, should we re-park the car? I think it’s street cleaning in the morning but . . . we’ll figure it out . . . Brigid mouths “Thank you, I love you” into Richard’s ear. They kiss. Their affection for each other triggers something in Erik—embarrassment that Richard needed to take care of him? Nostalgia for his own early romance with Deirdre? The stage picture should subtly highlight Brigid and Richard’s flawed-but-alive connection and a gulf between Erik and Deirdre. Erik decides to go upstairs. Aimee has dialed her cell . . .",pending,the shame you feel when your inadequacy or guilt is made public,1,1,1,0.5,0.5,0.5,0.4,0.0,0.458,0.5,0.479,True,,,embarrassment.n.01/embarrassment.n.02/embarrassment.n.03/overplus.n.01,,1.0,6.28,B1,3.77,3.686
pill,pill,word,n,pill.n.05,pilule,,,"other pill before we eat . . . It’s just some pots and pans, Dad, no worries . . . Deirdre helps Erik with Momo. Erik gives her a pill. We definitely owe you guys for that care-package, clearly we needed it. Yeah, you did, and cell-phone flashlights don’t last long in a blackout. You gotta be prepared . . .",pending,a contraceptive in the form of a pill containing estrogen and progestin to inhibit ovulation and so prevent conception,1,1,1,0.5,0.5,0.2,1.0,0.0,0.503,0.455,0.479,True,,,pill.n.01/pill.n.02/pill.n.03/pill.n.04/pill.n.05,,1.0,6.06,A2,4.03,4.073
weird,weird/weirdest,word,a,eldritch.s.01,,,,"The fear of old age The fear of death The subject of the “uncanny” . . . belongs to all that is terrible—to all that arouses dread and creeping horror . . . The German word [for “uncanny”], unheimlich, is obviously the opposite of heimlich . . . meaning “familiar,” “native,” “belonging to the home”; and we are tempted to conclude that what is “uncanny” is frightening precisely because it is not known and familiar . . . [But] among its different shades of meaning the word heimlich exhibits one which is identical with its opposite, unheimlich . . . on the one hand, it means that which is familiar and congenial, and on the other, that which is concealed and kept out of sight. The mask. Look at the mask! Sand, crocodile, and fear above New York. || So you’ve been . . . having some weird dreams too? Huh? . . . just . . . you can hear a lot through the [hole where the spiral staircase is], just caught that you haven’t been sleeping, thought maybe—I’ve been having weird dreams all week, think it’s because of the move . . . last night I was polishing a silver refrigerator and . . . my dog was caught inside it? . . . and I don’t have a dog? / . . . just weird stuff . . . Oh man . . . sounds like it . . . no, I don’t remember my [dreams] . . . even when I have one of those ones where, uh . . . Erik takes a sip of beer.",pending,suggesting the operation of supernatural influences; ; ; - John Galsworthy; ; - Henry Kingsley,11,11,9,0.5,0.5,0.5,0.0,0.0,0.457,0.5,0.478,True,,,eldritch.s.01/weird.s.02,,0.99,5.61,B1,4.81,5.004
marry,married,word,a,married.a.01,marié,marié,,"[I dunno] . . . she’s still heartbroken, you know? . . . [Yeah,] it’s gonna be weird for us, not having Carol around . . . Well I’m telling you if they got married it— (Brigid sighs) —hey, it’s why I don’t like you and Rich moving in together / before making a real commitment— || . . . don’tcha think it should cost less to be alive? Ha, absolutely . . . I even started cutting my own hair to try and save a few bucks . . . messed it up pretty good. Thank God I’m married. Richard smiles. Erik drinks. Beat. So you want—no, sorry what?",auto_strong,joined in matrimony,2,2,2,0.5,0.5,0.4,0.5,0.0,0.471,0.485,0.478,True,,,marital.a.01/married.a.01,,1.0,5.83,A2,4.4,5.018
annoyed,annoyed,word,a,annoyed.s.01,,énervé,vexé/irrité,"(Mumbled) . . . you can never come back . . . you can never come back . . . Deirdre’s a little stung. Erik is drawn to the window, studies the surroundings. You can come back any time, Momo. It’s her latest phrase-of-the-day . . . the doctor says it’s normal, the repeating . . . || Thanks, Rich. Brigid goes to the kitchen, frustrated. Richard follows her. We can glimpse them having a controlled-but-heated conversation. Erik raises his eyebrows, tries to make light of this. Anything I say makes her [annoyed] . . . Yeah? Well who does she remind you of? You.",auto_strong,aroused to impatience or anger,1,1,1,0.5,0.5,0.692,0.0,0.0,0.427,0.529,0.478,True,,,annoyed.s.01/annoyed.s.02,,1.0,7.72,B1,3.95,3.537
forehead,forehead,word,n,brow.n.01,front,front,,"alley. They are laughing about something. Richard kisses her forehead, then slaps her on the ass playfully. Richard disappears into the alley as she slaps his ass",auto_strong,the part of the face above the eyes,1,1,1,0.5,0.5,0.692,0.0,0.0,0.427,0.529,0.478,True,,,brow.n.01/frontal_bone.n.01,,1.0,5.58,B1,3.87,3.895
monster,Monsters/monsters,word,n,freak.n.01,monstre,monstre,phénomène/être difforme,"—but on their planet— them monsters— —on their planet, the scary stories they tell each other . . . they’re all about us. The horror stories for the monsters are all about humans. / I love that . . . (Joking, to Erik) (To Richard) || Sure they are, it’s always a man driving a stake through the heart of the vampire—or if you’re a zombie, you eat people but your biggest threat is what?—getting killed by an enterprising human, / right? I get it, Rich . . . They’d be more scared by monster-eating-monsters or something, am I right? Monsters aren’t real so it’s a weird thing to wanna be right about. That’s probably the soundest argument.",auto_strong,a person or animal that is markedly unusual or deformed,5,5,4,0.5,0.5,0.143,0.857,0.0,0.509,0.446,0.478,True,,,freak.n.01/giant.n.05/monster.n.01/monster.n.04/monster.n.05,,1.0,4.58,B1,4.49,4.589
necessarily,necessarily,word,r,necessarily.r.01,nécessairement,nécessairement,forcément,"[Oh God . . .] That’s an elegant thesis, Dad. Well, no, no, it’s a good point, I just don’t think being messed up is necessarily linked to how much money is in your bank account. Of course . . . Yeah, but it can shift your",auto_strong,in an essential manner,1,1,1,0.5,0.5,0.44,0.5,0.0,0.464,0.491,0.477,True,,,inevitably.r.01/necessarily.r.01/necessarily.r.03,,1.0,,B2,4.48,4.052
harm,harm,word,n,injury.n.01,,,,"Ladies . . . [join me] . . . They occasionally look to Momo affectionately, expecting her to join in. And of all the harm that ere I’ve done, Alas was done to none but me And all I’ve done for want of wit,",pending,any physical damage to the body caused by violence or accident or fracture etc.,1,1,1,0.5,0.5,0.5,0.375,0.0,0.454,0.5,0.477,True,,,damage.n.01/damage.n.03/injury.n.01,,1.0,5.0,B2,4.47,4.502
evil,evil,word,a,evil.a.01,,mauvais,méchant/malfaisant,"All right, ha ha . . . Brigid, still miffed by Erik’s tough love, goes to the kitchen area. . . . yeah, and I hope she visits you tonight in your sleep and casts an evil spell / on you— Oh yeah, smart-ass?— Erik stops Brigid and bear-hugs her, making her laugh involuntarily.",auto_strong,morally bad or wrong,1,1,1,0.5,0.5,0.636,0.1,0.0,0.433,0.52,0.477,True,,,evil.a.01/evil.s.01/malefic.s.01,,1.0,6.71,B2,4.74,4.864
actual,actual,word,a,actual.a.01,,,,"Of course, just . . . Yeah, has he heard this? I heard about it, but not the actual . . . She wrote this before she got really sick, Rich . . . an e-mail to these girls, what four years ago? Erik finds the message on his phone.",pending,presently existing in fact and not merely potential or possible,1,1,1,0.5,0.5,0.5,0.371,0.0,0.453,0.5,0.477,True,,,actual.a.01/actual.s.01/actual.s.02/actual.s.03/actual.s.04,,1.0,6.94,B2,4.85,4.239
decipherable,decipherable,word,a,clear.s.11,,déchiffrable,compréhensible/lisible,"please! They are audible-but- not-decipherable. Yeah, Richard, or you can get them yourself. The tail end of their conversation: || (Meeting him halfway on the stairs) No I got them, sorry . . . (Audible-but-not-decipherable) Hey—gimme some space, I will . . . I will— Brigid hears the tail end of Deirdre’s private discussion with Erik.",auto_strong,easily deciphered,4,4,4,0.5,0.5,0.333,0.5,0.0,0.478,0.475,0.476,True,,,clear.s.11,,0.98,,,1.61,1.292
complete,completes,word,v,complete.v.01,,finir,terminer/achever,"Mom, you’re not hungry? Just It looks like light flurries. finish drinking your— Perhaps the smallest suggestion of a moving shadow in the alley. Momo overturns her Ensure shake, splattering it everywhere. She mumbles under the following: || She wrote this before she got really sick, Rich . . . an e-mail to these girls, what four years ago? Erik finds the message on his phone. Here, give it to me, you’re gonna end up asking me to finish . . . Erik hands her his phone. “Dear Aimee and Brigid, I was clumsy around you both today and felt confused. I couldn’t remember your names and felt bad about that. It’s strange, slowly becoming someone I don’t know. But while I am still here, I want to say: don’t worry about me once I drift off for good. I’m not scared. If anything, I wish I could’ve known that most of the stuff I did spend my life worrying about wasn’t so bad. Maybe it’s because this disease has me forgetting the worst stuff, but right now I’m feeling nothing about this life was worth getting so worked up about. Not even dancing at weddings.”",auto_strong,come or bring to a finish or an end,1,1,1,0.5,0.5,0.6,0.161,0.0,0.437,0.515,0.476,True,,,complete.v.01/complete.v.02/complete.v.04/complete.v.05/dispatch.v.02,,1.0,6.58,B1,5.1,4.713
ass,ass,word,n,buttocks.n.01,fesses,fesses,derrière/cul,"forehead, then slaps her on the ass playfully. Richard disappears into the alley as she slaps his ass back. This stirs something inside Deirdre. She retreats back to",auto_strong,the fleshy part of the human body that you sit on,1,1,1,0.5,0.5,0.556,0.25,1.0,0.444,0.508,0.476,False,,,ass.n.02/ass.n.03/buttocks.n.01/fuck.n.01,,0.99,7.84,,5.0,5.354
possess,possessed,word,a,obsessed.s.02,,possédé,sous l'emprise de/dominé par une force,"Hey, hey . . . shhh . . . shhhh . . . . . . what’s wrong with me . . . Momo is having her first real fit of the day. It’s terrifying. Erik has seen it before, but it’s still hard for him. It’s like she’s possessed. . . . Go home to fuck you you Okay, okay, okay . . . we’ll go",auto_corroborated,influenced or controlled by a powerful force such as a strong emotion,1,1,1,0.5,0.5,0.429,0.5,0.0,0.462,0.489,0.476,True,,,amuck.s.01/obsessed.s.02,,0.98,11.95,B1,4.02,3.741
creep,creeping,word,v,crawl.v.01,,,,"The fear of old age The fear of death The subject of the “uncanny” . . . belongs to all that is terrible—to all that arouses dread and creeping horror . . . The German word [for “uncanny”], unheimlich, is obviously the opposite of heimlich . . . meaning “familiar,” “native,” “belonging to the home”; and we are tempted to conclude that what is “uncanny” is frightening precisely because it is not known and familiar . . . [But] among its different shades of meaning the word heimlich exhibits one which is identical with its opposite, unheimlich . . . on the one hand, it means that which is familiar and congenial, and on the other, that which is concealed and kept out of sight. The mask. Look at the mask! Sand, crocodile, and fear above New York.",pending,move slowly; in the case of people or animals with the body near the ground,1,1,1,0.5,0.5,0.5,0.353,0.0,0.451,0.5,0.475,True,,,crawl.v.01/creep.v.03/fawn.v.01/sneak.v.01,,1.0,8.0,,3.84,4.051
vanish,vanished,word,v,disappear.v.01,,,,"Mom, does Momo need another shake? Sure, let’s give it a try . . . Brigid disappears into the kitchen alley to get a shake out of the fridge. UPSTAIRS: Erik moves in a bit closer, listening to Aimee’s phone conversation. . . . well hey, I’ll let you go, but glad you’re— || No answer. As Erik descends the stairs to investigate . . . The shadow quietly reemerges in the alley, then disappears into the darkness. Erik arrives downstairs, where Deirdre and Momo exit the",pending,"get lost, as without warning or explanation",1,1,1,0.5,0.5,0.5,0.353,0.0,0.451,0.5,0.475,True,,,disappear.v.01/fly.v.08/vanish.v.02/vanish.v.04/vanish.v.05,,0.99,8.58,B2,3.39,3.507
eventually,Eventually/eventually,word,r,finally.r.01,,finalement,enfin,"Or whatever else I feel / like doing . . . Well c’mon, don’t act like you play shuffleboard on the lido deck. UPSTAIRS: Brigid finally heads downstairs. Erik passes her, going upstairs. (To Brigid, ascending the stairs) Just gonna check the score of the game . . . || —but how would she eat the turkey? She’s got no mouth . . . Deirdre mimes a woman without a mouth trying to eat turkey. It’s so unfunny it’s kind of funny. Eventually even Brigid laughs. Oh my God, stop . . . I’m so glad I shared my nightmare, thank you for your love and support—",auto_corroborated,after an unspecified period of time or an especially long delay,3,3,3,0.5,0.5,0.6,0.0,0.0,0.436,0.515,0.475,True,,,finally.r.01,,1.0,7.031649000000002,B1,4.88,4.388
